Index,Board,System,Enrolment,Spaces,Per-student Funding ($),Per-student Spending ($),EQAO Pass Rate,Total Revenue,Total Expense,Surplus,"Year-End Accumulated Surplus (August 31, 2022)",Surplus as Share of Revenue,"Year-End Accumulated Surplus as Share of Revenue (August 31, 2022)",Remoteness (KM),Dispersion (KM),Urban Factor,Urban,Remote,Dispersion,Size,Geographic Area,Teacher Salaries (Actual),Total Salary,Total Teachers
24,DSB of Niagara,English Public,39265.03,45121,12762.94972,13667.60458,0.77262273,547.16131,536.658904,10.502406,113.71041,0.019194351,0.207818806,<151,6.57,0.724,Leans Rural,Least Remote,Least Disperse,Large,1882,92347.49774,224829218,2434.6
25,Grand Erie DSB,English Public,25760.66,33003,12910.63442,13723.14882,0.563163482,357.389087,353.517371,3.871716,14.829003,0.010833336,0.041492602,<151,10.48,0.754,Leans Rural,Least Remote,Medium Disperse,Large,4066,90597.62188,150709144,1663.5
26,Waterloo Region DSB,English Public,64152.76,66734,12071.07767,12771.37487,0.671925155,826.308396,819.318947,6.989449,184.593774,0.008458645,0.223395738,<151,4.66,0.362,Leans Urban,Least Remote,Least Disperse,Large,1384,92704.07281,368466243,3974.65
27,Ottawa-Carleton DSB,English Public,73367.39,80505,12998.32946,14223.67212,0.690743679,1055.179851,1043.5537,11.62615143,141.922485,0.01101817,0.134500753,<151,5.57,0,Urban,Least Remote,Least Disperse,Large,2814,90162.66414,443988007,4924.3
28,Upper Canada DSB,English Public,26125.42,35689,14733.03173,15075.09919,0.562330978,399.3865022,393.843298,5.54320421,37.893842,0.013879298,0.094880127,<151,22.15,0.984,Leans Rural,Least Remote,Medium Disperse,Large,12141,92966.47673,156141846,1679.55
29,Limestone DSB,English Public,19371.03,24007,14102.89679,14828.39849,0.594149459,292.5849876,287.241352,5.34363558,43.396355,0.018263533,0.148320511,165,11.36,0.668,Leans Rural,Medium Remote,Medium Disperse,Medium,7208,92035.71691,115283939,1252.6
30,Renfrew County DSB,English Public,8894.79,13608,15618.3391,16441.3134,0.598343685,146.412051,146.24203,0.170021,14.388204,0.00116125,0.098271993,<151,23.64,1,Rural,Least Remote,Medium Disperse,Medium,8718,93531.28815,52714234,563.6
31,Hastings and Prince Edward DSB,English Public,14800.68,19085,14282.83521,15016.87976,0.603869048,221.4800924,222.260032,-0.77993957,8.838,-0.003521488,0.039904264,167,14.26,0.926,Leans Rural,Medium Remote,Medium Disperse,Medium,7214,97624.1479,91883848,941.2
32,Northeastern Catholic DSB,English Catholic,2232.24,3460,20295.23992,21072.60734,0.490497738,47.57547056,47.039117,0.53635356,9.42826856,0.011273742,0.198174993,656,62.25,0.949,Leans Rural,Medium Remote,Most Disperse,Small,25495,94811.92745,15421160,162.65
33,Nipissing-Parry Sound Catholic DSB,English Catholic,2706.13,4187,18825.81955,19788.38785,0.56737013,54.40461866,53.54995,0.85466866,7.67380266,0.015709487,0.141050573,312,17.74,0.873,Leans Rural,Medium Remote,Medium Disperse,Small,11192,97355.90862,18750748,192.6
34,Huron-Superior Catholic DSB,English Catholic,4016.08,6856,18333.55799,21216.8149,0.611729452,85.63260672,85.208426,0.42418072,11.933512,0.004953495,0.139357103,627,65.53,0.766,Leans Rural,Medium Remote,Most Disperse,Small,9845,97111.86453,27239878,280.5
35,Sudbury Catholic DSB,English Catholic,6325,7829,15731.3409,16709.91636,0.545032857,107.2911073,105.690221,1.60088625,15.288598,0.014920959,0.142496414,365,18.52,0.228,Leans Urban,Medium Remote,Medium Disperse,Small,9336,94724.44674,41261969,435.6
36,Northwest Catholic DSB,English Catholic,1189,1685,22938.66941,23395.86207,0.543665437,28.545343,27.81768,0.727663,16.868748,0.025491479,0.59094571,1587,128.72,1,Rural,Most Remote,Most Disperse,Small,11985,92160.31679,8727582,94.7
37,Kenora Catholic DSB,English Catholic,1233.16,1805,22874.27855,26772.94674,0.632727273,33.08819388,33.015327,0.07286688,6.722528,0.002202202,0.203169989,1709,83.8,1,Rural,Most Remote,Most Disperse,Small,3115,93569.98312,11088043,118.5
38,Thunder Bay Catholic DSB,English Catholic,6905.29,8867,16194.60107,17746.43918,0.640114249,120.1755587,122.544309,-2.36875026,15.474997,-0.019710749,0.128769919,1258,3.76,0.524,Leans Rural,Most Remote,Least Disperse,Small,4946,95136.89099,48348568,508.2
39,Superior North Catholic DSB,English Catholic,610.02,1827,33671.25491,38370.15508,0.493261456,24.06392995,23.406562,0.65736795,6.473731,0.027317564,0.269022184,1038,90.65,1,Rural,Medium Remote,Most Disperse,Small,18740,87498.72313,6715527,76.75
40,Bruce-Grey Catholic DSB,English Catholic,4598.31,4090,14886.87236,15984.83573,0.638950893,72.65443847,73.50323,-0.84879153,10.68598,-0.011682583,0.147079521,<151,22.44,1,Rural,Least Remote,Medium Disperse,Small,8701,88490.53646,28454132,321.55
41,Huron Perth Catholic DSB,English Catholic,4575.6,5330,15294.34555,16068.83228,0.716269841,74.13196139,73.524549,0.60741239,7.266972,0.008193664,0.098027516,<151,20.73,0.986,Leans Rural,Least Remote,Medium Disperse,Small,5642,89710.11277,27047599,301.5
42,Windsor-Essex Catholic DSB,English Catholic,20465.28,23510,13063.56958,13489.76203,0.73814205,283.2767712,276.071757,7.20501421,34.05301,0.025434539,0.120211092,<151,7.66,0.444,Leans Urban,Least Remote,Least Disperse,Medium,1868,94964.55534,118743680,1250.4
43,London District Catholic School Board,English Catholic,22501.64,22146,12914.42875,13166.57279,0.646941139,307.5728246,296.269481,11.30334363,51.982,0.036750138,0.169007129,<151,10.41,0.3,Leans Urban,Least Remote,Medium Disperse,Medium,7274,89144.4294,121780205,1366.1
44,St. Clair Catholic DSB,English Catholic,8629.25,9494,13808.90344,14775.46484,0.645607853,128.7852601,127.50118,1.28408009,26.612831,0.009970707,0.206645007,<151,19.85,0.675,Leans Rural,Least Remote,Medium Disperse,Small,5499,92325.84609,47630904,515.9
45,Toronto Catholic DSB,English Catholic,84031.93,96466,13532.06821,14995.87826,0.680191664,1238.530193,1260.132592,-21.60239939,494.122,-0.017441964,0.398958381,<151,4.46,0,Urban,Least Remote,Least Disperse,Large,635,93171.45719,528775971,5675.3
46,Peterborough V N C Catholic DSB,English Catholic,14665.75,15779,13350.50881,14214.39797,0.643622486,208.174186,208.464807,-0.290621,32.249647,-0.001396047,0.154916648,<151,16.08,0.752,Leans Rural,Least Remote,Medium Disperse,Medium,10342,93234.94585,83510541,895.7
47,York Catholic DSB,English Catholic,50314.73,59031,12503.41256,13652.53583,0.761059284,689.540869,686.923654,2.617215,278.403,0.003795591,0.403751268,<151,7.11,0.181,Leans Urban,Least Remote,Least Disperse,Large,1776,90016.46656,303643545,3373.2
48,Dufferin-Peel Catholic DSB,English Catholic,73312.39,88814,12639.32515,14215.87552,0.705191892,1011.786681,1042.19981,-30.413129,251.031,-0.030058835,0.248106646,<151,4.91,0.061,Leans Urban,Least Remote,Least Disperse,Large,2753,97102.5934,460800357,4745.5
49,Simcoe Muskoka Catholic DSB,English Catholic,22172.33,23343,12672.40544,13205.54092,0.611817895,302.0646363,292.797611,9.26702529,64.167998,0.030678948,0.212431348,<151,17.76,0.74,Leans Rural,Least Remote,Medium Disperse,Medium,10660,90610.46845,126596416,1397.15
50,Durham Catholic DSB,English Catholic,21458.95,20716,12545.44487,14528.81954,0.68179278,314.3657078,311.773212,2.59249577,72.734611,0.008246751,0.231369418,<151,6.94,0.485,Leans Urban,Least Remote,Least Disperse,Medium,1966,89303.16979,123229444,1379.9
51,Halton Catholic DSB,English Catholic,35844.06,34095,11728.81835,12883.26836,0.735180412,470.3613789,461.788644,8.57273488,187.259851,0.018225848,0.398119105,<151,7.02,0.323,Leans Urban,Least Remote,Least Disperse,Large,975,90968.0659,212310369,2333.9
52,Hamilton-Wentworth Catholic DSB,English Catholic,29262.53,30063,12638.46973,13797.20482,0.699090388,403.5518089,403.74112,-0.18931111,92.450573,-0.000469112,0.229092203,<151,4.73,0,Urban,Least Remote,Least Disperse,Large,1126,91976.90869,179056047,1946.75
53,Wellington Catholic DSB,English Catholic,8106.28,9752,13729.89935,14161.34812,0.700522984,116.054137,114.795853,1.258284,26.106723,0.010842216,0.224952972,<151,10.38,0.536,Leans Rural,Least Remote,Least Disperse,Small,2698,95827.12801,48881418,510.1
